Date,SP500_MOM_3M
2005-12-15,0.025151400733226036
2005-12-16,0.02423652663824094
2005-12-19,0.025068442547576876
2005-12-20,0.026940741590330174
2005-12-21,0.02882000079341087
2005-12-22,0.032010424807714453
2005-12-23,0.034856528758855476
2005-12-27,0.03584519643763342
2005-12-28,0.03595589065205742
2005-12-29,0.03446786540451916
2005-12-30,0.03338493796775068
2006-01-03,0.03386814983177457
2006-01-04,0.035566579946449
2006-01-05,0.03792650168889118
2006-01-06,0.04184656978646204
2006-01-09,0.04538055655206539
2006-01-10,0.04963922979045739
2006-01-11,0.05550193676194297
2006-01-12,0.061312519846562163
2006-01-13,0.06854692513610203
2006-01-17,0.07508254891650401
2006-01-18,0.07903062767415474
2006-01-19,0.08324699200838825
2006-01-20,0.08230036470929925
2006-01-23,0.08171788167230691
